id,articleType,path,readable,width,height,source_mode,file_bytes,file_sha256,pixel_sha256,thumbnail_sha256,standardized_sha256,dhash,border_brightness,error
900000,Eyeshadow,notebooks/Task1/dataset1/images/900000.jpg,True,207,198,RGB,13092,b0c630c5ee44e21fe1d4f647c0f9d125814ce195d77c3f1461bab97091e3cfed,64842dbb9a6b32ad59e66b3f75e61a2be5a9cff543be80af32440678209de83e,ac2b088e62bc4e6895d2fe7a6984c7aff8cc63519efd29844b77feedea0af0b1,c5598af62d7843c1d76faff8225b7c5b3b953588586cd4f5c55e9a593d4cfa45,8084178719219151280,110.01943755169562,
900001,Eyeshadow,notebooks/Task1/dataset1/images/900001.jpg,True,146,136,RGB,11435,0e69343df584881ea2395c4a0b85e97ec5f012b7e7285c962da251398f074670,bc791337f7c7b06689c28397874a067d97c88d5dbf1941d063eb5352c0db5e87,ee72a642013dbee94eed3350fcd5d5a43cf67fcccbc4cab5a45bbe0cbe59d897,8a5af4172ecf55a93c6b141fc90e4ceb14000925a881ebfd9a32a64c998fa342,1382993174056415506,98.625,
900002,Eyeshadow,notebooks/Task1/dataset1/images/900002.jpg,True,181,194,RGB,22814,393b9c70cfa6d2a04181783c2517499891482bf7888a3a4bdc7b181d890a1e71,388e819ef0ad7bd3e8e8cb4925b6fe25fb58a07a6a3e558c0f709bdfb528a46e,2ceaa77b3f977102ab6613ca9b665b19765eb592434e638cf8a0bd980705b3e8,48d9eba3ecb47dd9f5410e9900805b8388578587b11f76f4cb771e19bf5ba3d0,11293509802388650441,97.20956210902591,
900003,Eyeshadow,notebooks/Task1/dataset1/images/900003.jpg,True,132,165,RGB,11498,736316a048a585d9b99f36ccae4792e71b0dc3641dc2ad5c1562f719e3c94f25,953d381d654951c89c5f70bb172733475475f481a00e7a4c8fcae8f5117eba5a,bb58c8f6ccd0f507cb07470f755c5769191821b3ce2b7d10648fe001190a4e36,1752477de607819dadbc4ecfaaf402bddbbf7bd3b6f9e7b967296dbfc3d980f0,16706909677885532041,65.14858757062147,
900004,Eyeshadow,notebooks/Task1/dataset1/images/900004.jpg,True,222,198,RGB,21568,e38c4b4d4685095e1d17b80ad41c6f0552b2ca4ddc6830c33e40f25b5d536237,17890de603adc8a7c7fa846f481b0b95127bbb402d0292ee1cbebc1346c113d6,05e89d72fb58fb1f4072d96d7809947cb617f204d9e9bbdae3234ef614f5f82f,63e125b2c0255b0d9468c22bc7f4ebfdf3d62a33f24c22d8f8a8ba764116bfbd,5520870204489025068,191.52472089314193,
900005,Eyeshadow,notebooks/Task1/dataset1/images/900005.jpg,True,147,169,RGB,11115,50221e39757e30368e553951fd87848c90dcd7af20492be9f2ed1564384f6540,c7a224eed407da3e8933f9093ff6f8b63014d7749ef6dc608d38072c45905306,b8f2b8099e01f36230c4d17372fcaa0d2359de44effc879cbd4ec2428c322fff,049f977afbb1df0d781146e67d36d1a9c678efbf94be9698985a8b36208c5579,14564068001888044812,142.8975583864119,
900006,Eyeshadow,notebooks/Task1/dataset1/images/900006.jpg,True,116,105,RGB,6057,dd27b2fa54373ea21140553c6cf8f231cfccd92976b880f2bfec98322889f8a5,00e3d8faf919c80d747c7624a5c7d0f45bee427baa2fd4640c0fb6c022f1f0e0,9aefe2c78fe30b80b370e95aba7221c8ae5997528cb2c4cc7a4e816f84642109,fc24b9340757c25745cca56cc756b7bddcb1fdbe60b5913a106d74c656b9eb1c,12940845567713835421,95.64535768645358,
900007,Eyeshadow,notebooks/Task1/dataset1/images/900007.jpg,True,132,124,RGB,9780,f75e59974636471e69fec97663bb005f90ac48aa0ba19e25e991650d3aa55090,0367f05c8561c0affd23f7a87caa1ad1a60a806ca53b91a1fd1c5557421d84bb,61a2234576d5334cbfdacc94caf54689733b3d062765d5b832300a28235cb7e9,c5d01ed9f40dd04433efd5d168725fcb9aab96bd20e303bfcae5b5c8b1983e21,5303385247843643940,56.62795275590551,
900008,Eyeshadow,notebooks/Task1/dataset1/images/900008.jpg,True,104,95,RGB,5597,a0116e9db8bdff85c950fa842364c99d134d70a44d18f7f68ff2630048227a23,d5078bb984aee547d306d06bbb6cb0c83a888b37dfb00354eef9ada3905064fb,696dff809f8003170f238f53eb46dfe61d9763159ff6d6630cfd2b8d19aec3d4,6306c8e6c9598d93bbdf6d391e907e6ed3e0f27c0463b2e1304d5226ba45b792,14036271615193946354,109.06852791878173,
900009,Eyeshadow,notebooks/Task1/dataset1/images/900009.jpg,True,119,144,RGB,8175,37eb1318a51b03817278a5b20e1c0f7e36cd4655637f5ed7785c8b619fb67322,15c4d40836bfbf91cb2de3cd9ea775daae945c7c8ab14d0e763bb727f405b91f,ddd11707d9326e9f22ecd502ceecd92a4426384c06738d8d0fcce5248ffebfc4,a30360e9d19225f64d18f4e0396848e465b5bbe62e3e8d0f2a0bfca30b9809f2,10176421674795587699,1.234993614303959,
